Name,Treatment,Cost,Density,Tensile Strength ultimate,Yield Strength,Modulus of Elasticity,Poisson's Ratio,ID
,,US$/lb,lb/in^3,Ksi,Ksi,10^6 Psi,,
# Plain Carbon and Low Alloy Steels,,,,,,,,
# Alloy 1006,,,,,,,,
AISI 1006 Steel, cold drawn,2.91,0.284,47.85,41.325,29.710,0.29,1
AISI 1006 Steel,hot rolled,2.91,0.284,42.775,23.925,28.986,0.29,2
# Alloy 1020,,,,,,,,
AISI 1020 Steel, cold rolled,6.74,0.284,60.9,50.75,29.710,0.29,3
AISI 1020 Steel, hot rolled,6.74,0.284,55.1,29.725,,0.29,4
AISI 1020 Steel, normalizaed ,6.74,0.284,63.8,50.025,28.986,0.29,5
AISI 1020 Steel,annealed ,6.74,0.284,57.275,42.775,28.986,0.29,6
# Alloy 1040,,,,,,,,
AISI 1040 Steel, Cold drawn,2.14,0.283,84.825,74.675,28.986,0.29,7
AISI 1040 Steel,Hot rolled,2.14,0.283,76.125,42.05,28.986,0.29,8
AISI 1040 Steel,annealed ,2.14,0.283,74.675,50.75,28.986,0.29,9
AISI 1040 Steel,normalized ,2.14,0.283,86.275,53.65,28.986,0.29,10
# Alloy 1090,,,,,,,,
AISI 1090 Steel, annealed,7.77,0.284,100.92,78.3,29.710,0.29,11
AISI 1090 Steel, hot rolled,7.77,0.284,121.945,66.7,28.986,0.29,12
# Alloy 1095,,,,,,,,
AISI 1095 Steel,normalized ,7.77,0.284,147.175,73.225,29.710,0.29,13
AISI 1095 Steel, annealed ,7.77,0.284,96.425,55.1,29.710,0.29,14
# Alloy 1340,,,,,,,,
AISI 1340 Steel,annealed ,N/A,0.284,101.935,62.93,28.986,0.29,15
AISI 1340 Steel, normalized ,N/A,0.284,120.93,80.91,28.986,0.29,16
AISI 1340 Steel, oil quenched ,N/A,0.284,137.895,120.93,28.986,0.29,17
# Alloy 4027,,,,,,,,
AISI 4027 Steel,annealed,N/A,0.284,74.675,47.125,29.710,0.29,18
AISI 4027 Steel,normalized,N/A,0.284,92.8,60.9,29.710,0.29,19
AISI 4027 Steel,water quenched ,N/A,0.284,150.075,132.965,29.710,0.29,20
# Alloy 4140,,,,,,,,
AISI 4140 Steel,annealed ,3.36,0.284,94.975,60.175,29.710,0.29,21
AISI 4140 Steel, normalized ,3.36,0.284,147.9,94.975,29.710,0.29,22
AISI 4140 Steel, oil quenched,3.36,0.284,155.875,142.97,29.710,0.29,23
# Alloy 4340,,,,,,,,
AISI 4340 Steel,annealed,N/A,0.284,108.025,68.15,29.710,0.29,24
AISI 4340 Steel, normalized,N/A,0.284,185.89,124.99,29.710,0.29,25
AISI 4340 Steel,oil quenched ,N/A,0.284,175.015,166.025,29.710,0.29,26
# Alloy 5140,,,,,,,,
AISI 5140 Steel, annealed,N/A,0.284,82.65,42.775,29.710,0.29,27
AISI 5140 Steel, normalized,N/A,0.284,114.985,68.15,29.710,0.29,28
AISI 5140 Steel,oil quenched,N/A,0.284,140.94,121.945,29.710,0.29,29
# Alloy 8630,,,,,,,,
AISI 8630 Steel, annealed,2.99,0.284,81.925,53.65,29.710,0.29,30
AISI 8630 Steel, normalized,2.99,0.284,94.25,61.625,29.710,0.29,31
AISI 8630 Steel,water quenched ,2.99,0.284,147.175,131.95,29.710,0.29,32
# Stainless Steels,,,,,,,,
# Alloy 302,,,,,,,,
Stainless Steel 302, annealed,9,0.284,89.9,39.875,27.971,0.25,33
Stainless Steel 302, 25% hardened ,9,0.284,124.7,74.675,27.971,0.25,34
Stainless Steel 302,Cold rolled,9,0.284,84.825,36.975,27.971,0.25,35
# Alloy 316,,,,,,,,
Stainless Steel 316, annealed,17.87,0.289,84.1,42.05,27.971,0.27,36
Stainless Steel 316,soft tempered,17.87,0.289,99.905,74.675,27.971,0.27,37
# Alloy 330,,,,,0,,,
Stainless Steel 330,Cold rolled,N/A,0.289,84.97,42.05,28.551,0.27,38
Stainless Steel 330, annealed,N/A,0.289,79.75,37.7,28.551,0.27,39
# Alloy 405,,,,,,,,
Stainless Steel 405,Cold rolled,394.79,0.282,68.005,40.02,28.986,0.27,40
Stainless Steel 405,Annealed,394.79,0.282,64.96,40.02,28.986,0.27,41
# Alloy 434,,,,,,,,
Stainless Steel 434,Annealed,N/A,0.282,74.965,50.025,28.986,0.27,42
# Alloy 660,,,,,,,,
Stainless Steel 660,Cold rolled,N/A,0.286,146.015,101.935,28.986,0.27,43
# Alloy 17-7PH,,,,,,,,
Stainless Steel 17-7 PH,Precipitation hardened,16.39,0.282,239.25,230.55,29.565,0.27,44
Stainless Steel 17-7 PH, cold rolled,16.39,0.282,200.1,175.45,29.565,0.27,45
# Cast Irons,,,,,,,,
# Ductile Cast Irons,,,,,,,,
Ductile Cast Iron, grade 60-40-18,N/A,0.258,66.845,47.705,24.493,0.29,46
Ductile Cast Iron,grade 65-45-12,N/A,0.258,67.28,48.14,24.348,0.29,47
Ductile Cast Iron, grade 120-90-02,N/A,0.258,141.23,125.28,23.768,0.28,48
Ductile Cast Iron, grade 80-55-06,N/A,0.258,81.055,52.49,24.348,0.31,49
# Aluminum Alloys,,,,,,,,
# Alloy 1100,,,,,,,,
Aluminum Alloy 1100,Annealed,40.85,0.0979,13.05,5.075,10.000,0.33,50
Aluminum Alloy 1100,H12 Temper,40.85,0.0979,15.95,14.935,10.000,0.33,51
Aluminum Alloy 1100,H14 Temper,40.85,0.0979,17.98,16.965,10.000,0.33,52
# Alloy 2024,,,,,,,,
Aluminum Alloy 2024,Annealed,17.5,0.1,,,10.580,0.33,53
Aluminum Alloy 2024,T3 Temper,17.5,0.1,70.035,50.025,10.580,0.33,54
Aluminum Alloy 2024,T4 Temper,17.5,0.1,68.005,46.98,10.580,0.33,55
Aluminum Alloy 2024,T6 Temper,17.5,0.1,61.915,50.025,10.435,0.33,56
# Alloy 6061,,,,,,,,
Aluminum Alloy 6061,Annealed,10.25,0.0975,17.98,7.975,10.000,0.33,57
Aluminum Alloy 6061,T4 Temper,10.25,0.0975,34.945,21.025,10.000,0.33,58
Aluminum Alloy 6061,T6 Temper,10.25,0.0975,44.95,40.02,10.000,0.33,59
Aluminum Alloy 6061,T8 Temper,10.25,0.0975,44.95,40.02,10.000,0.33,60
# Alloy 7075,,,,,,,,
Aluminum Alloy 7075,Annealed,19.06,0.102,33.06,14.935,10.435,0.33,61
Aluminum Alloy 7075,T6 Temper,19.06,0.102,82.94,72.935,10.435,0.33,62
