Name,Treatment,Cost,Density,Ultimate Tensile Strength,Yield Strength,Elastic Modulus,Poissons Ratio,ID
,,US$/lb,g/cc,Mpa,MPa,Gpa,,
# Plain Carbon and Low Alloy Steels,,,,,,,,
# Alloy 1006,,,,,,,,
AISI 1006 Steel, cold drawn,2.91,7.872,330,285,205,0.29,1
AISI 1006 Steel,hot rolled,2.91,7.872,295,165,200,0.29,2
# Alloy 1020,,,,,,,,
AISI 1020 Steel, cold rolled,6.74,7.87,420,350,205,0.29,3
AISI 1020 Steel, hot rolled,6.74,7.87,380,205,200,0.29,4
AISI 1020 Steel, normalizaed ,6.74,7.87,440,345,200,0.29,5
AISI 1020 Steel,annealed ,6.74,7.87,395,295,200,0.29,6
# Alloy 1040,,,,,,,,
AISI 1040 Steel, Cold drawn,2.14,7.845,585,515,200,0.29,7
AISI 1040 Steel,Hot rolled,2.14,7.845,525,290,200,0.29,8
AISI 1040 Steel,annealed ,2.14,7.845,515,350,200,0.29,9
AISI 1040 Steel,normalized ,2.14,7.845,595,370,200,0.29,10
# Alloy 1090,,,,,,,,
AISI 1090 Steel, annealed,7.77,7.85,696,540,205,0.29,11
AISI 1090 Steel, hot rolled,7.77,7.87,841,460,200,0.29,12
# Alloy 1095,,,,,,,,
AISI 1095 Steel,normalized ,7.77,7.85,1015,505,205,0.29,13
AISI 1095 Steel, annealed ,7.77,7.85,665,380,205,0.29,14
# Alloy 1340,,,,,,,,
AISI 1340 Steel,annealed ,N/A,7.87,703,434,200,0.29,15
AISI 1340 Steel, normalized ,N/A,7.87,834,558,200,0.29,16
AISI 1340 Steel, oil quenched ,N/A,7.87,951,834,200,0.29,17
# Alloy 4027,,,,,,,,
AISI 4027 Steel,annealed,N/A,7.85,515,325,205,0.29,18
AISI 4027 Steel,normalized,N/A,7.85,640,420,205,0.29,19
AISI 4027 Steel,water quenched ,N/A,7.85,1035,917,205,0.29,20
# Alloy 4140,,,,,,,,
AISI 4140 Steel,annealed ,3.36,7.85,655,415,205,0.29,21
AISI 4140 Steel, normalized ,3.36,7.85,1020,655,205,0.29,22
AISI 4140 Steel, oil quenched,3.36,7.85,1075,986,205,0.29,23
# Alloy 4340,,,,,,,,
AISI 4340 Steel,annealed,N/A,7.85,745,470,205,0.29,24
AISI 4340 Steel, normalized,N/A,7.85,1282,862,205,0.29,25
AISI 4340 Steel,oil quenched ,N/A,7.85,1207,1145,205,0.29,26
# Alloy 5140,,,,,,,,
AISI 5140 Steel, annealed,N/A,7.85,570,295,205,0.29,27
AISI 5140 Steel, normalized,N/A,7.85,793,470,205,0.29,28
AISI 5140 Steel,oil quenched,N/A,7.85,972,841,205,0.29,29
# Alloy 8630,,,,,,,,
AISI 8630 Steel, annealed,2.99,7.85,565,370,205,0.29,30
AISI 8630 Steel, normalized,2.99,7.85,650,425,205,0.29,31
AISI 8630 Steel,water quenched ,2.99,7.85,1015,910,205,0.29,32
# Stainless Steels,,,,,,,,
# Alloy 302,,,,,,,,
Stainless Steel 302, annealed,9,7.86,620,275,193,0.25,33
Stainless Steel 302, 25% hardened ,9,7.86,860,515,193,0.25,34
Stainless Steel 302,Cold rolled,9,7.86,585,255,193,0.25,35
# Alloy 316,,,,,,,,
Stainless Steel 316, annealed,17.87,8,580,290,193,0.27,36
Stainless Steel 316,soft tempered,17.87,8,689,515,193,0.27,37
# Alloy 330,,,,,,,,
Stainless Steel 330,Cold rolled,N/A,8,586,290,197,0.27,38
Stainless Steel 330, annealed,N/A,8,550,260,197,0.27,39
# Alloy 405,,,,,,,,
Stainless Steel 405,Cold rolled,394.79,7.8,469,276,200,0.27,40
Stainless Steel 405,Annealed,394.79,7.8,448,276,200,0.27,41
# Alloy 434,,,,,,,,
Stainless Steel 434,Annealed,N/A,7.8,517,345,200,0.27,42
# Alloy 660,,,,,,,,
Stainless Steel 660,Cold rolled,N/A,7.92,1007,703,200,0.27,43
# Alloy 17-7PH,,,,,,,,
Stainless Steel 17-7 PH,Precipitation hardened,16.39,7.8,1650,1590,204,0.27,44
Stainless Steel 17-7 PH, cold rolled,16.39,7.8,1380,1210,204,0.27,45
# Cast Irons,,,,,,,,
# Ductile Cast Irons,,,,,,,,
Ductile Cast Iron, grade 60-40-18,N/A,7.15,461,329,169,0.29,46
Ductile Cast Iron,grade 65-45-12,N/A,7.15,464,332,168,0.29,47
Ductile Cast Iron, grade 120-90-02,N/A,7.15,974,864,164,0.28,48
Ductile Cast Iron, grade 80-55-06,N/A,7.15,559,362,168,0.31,49
# Aluminum Alloys,,,,,,,,
# Alloy 1100,,,,,,,,
Aluminum Alloy 1100,Annealed,40.85,2.71,90,35,69,0.33,50
Aluminum Alloy 1100,H12 Temper,40.85,2.71,110,103,69,0.33,51
Aluminum Alloy 1100,H14 Temper,40.85,2071,124,117,69,0.33,52
# Alloy 2024,,,,,,,,
Aluminum Alloy 2024,T3 Temper,17.5,2.78,483,345,73,0.33,53
Aluminum Alloy 2024,T4 Temper,17.5,2.78,469,324,73,0.33,54
Aluminum Alloy 2024,T6 Temper,17.5,2.78,427,345,72,0.33,55
# Alloy 6061,,,,,,,,
Aluminum Alloy 6061,Annealed,10.25,2.7,124,55,69,0.33,56
Aluminum Alloy 6061,T4 Temper,10.25,2.7,241,145,69,0.33,57
Aluminum Alloy 6061,T6 Temper,10.25,2.7,310,276,69,0.33,58
Aluminum Alloy 6061,T8 Temper,10.25,2.7,310,276,69,0.33,59
# Alloy 7075,,,,,,,,
Aluminum Alloy 7075,Annealed,19.06,2.81,228,103,72,0.33,60
Aluminum Alloy 7075,T6 Temper,19.06,2.81,572,503,72,0.33,61
# Alloy 8001,,,,,,,,
Aluminum Alloy 8001,Annealed,N/A,2.75,110,40,70,0.33,62
# Alloy 8090,,,,,,,,
Aluminum Alloy 8090,T3 Temper,N/A,2.54,340,210,77,0.33,63
# Copper Alloys,,,,,,,,
"# Electrolytic tough pitch Copper, (C11000) ",,,,,,,,
"Electrolytic tough pitch Copper, (C11000) ",Cold Worked,6.6,8.89,345,310,122,0.33,64
"# Berillium Copper, (C17000)",,,,,,,,
"Berillium Copper, (C17000)",TH04  Temper,N/A,8.26,1310,1150,115,0.3,65
"Berillium Copper, (C17000)",TH01 Temper,N/A,8.26,1190,1110,115,0.3,66
"# Cartridge Brass, (C26000)",,,,,,,,
"Cartridge Brass, (C26000)",H00 Temper,29.59,8.53,400,315,110,0.375,67
"Cartridge Brass, (C26000)",H04 Temper,29.59,8.53,525,435,110,0.375,68
"# Muntz metal, (C28000)",,,,,,,,
"Muntz metal, (C28000)", H00  Temper,8.68,8.39,415,240,105,0.346,69
"Muntz metal, (C28000)", H02  Temper,8.68,8.39,485,345,105,0.346,70
"# Free-Cutting Brass, (C36000)",,,,,,,,
"Free-Cutting Brass, (C36000)",H01 Temper ,6.24,8.5,385,310,97,0.311,71
"Free-Cutting Brass, (C36000)",H02 Temper ,6.24,8.5,400,310,97,0.311,72
"# Chromium Copper, (C18500)",,,,,,,,
"Chromium Copper, (C18500)",TH04 Temper ,N/A,8.89,530,450,130,0.3,73
"Chromium Copper, (C18500)",TH04 Temper ,N/A,8.89,475,435,130,0.3,74
"# 90-10 Bronze, (C22000)",,,,,,,,
"90-10 Bronze, (C22000)",H01 Temper ,13.53,8.8,310,240,115,0.307,75
"90-10 Bronze, (C22000)",H04 Temper ,13.53,8.8,420,370,115,0.307,76
"90-10 Bronze, (C22000)",H08 Temper ,13.53,8.8,495,425,115,0.307,77
"# Gliding Copper, (C21000)",,,,,,,,
"Gliding Copper, (C21000)", Quarter Hard ,N/A,8.86,290,220,115,0.307,78
"Gliding Copper, (C21000)", Half Hard ,N/A,8.86,330,275,115,0.307,79
# Magnesium Alloys,,,,,,,,
# Alloy AZ31B,,,,,,,,
Magnesium Alloy AZ31B, Extruded ,11.06,1.77,260,200,45,0.35,80
Magnesium Alloy AZ31B, Annealed ,11.06,1.77,255,150,45,0.35,81
Magnesium Alloy AZ31B,Hard rolled ,11.06,1.77,290,220,45,0.35,82
# Alloy AZ63,,,,,,,,
Magnesium Alloy AZ63,F Temper,N/A,1.83,200,97,45,0.35,83
Magnesium Alloy AZ63,T6 Temper,N/A,1.83,275,130,45,0.35,84
Magnesium Alloy AZ63,T4 Temper,N/A,1.83,275,97,45,0.35,85
# Alloy AZ91E,,,,,,,,
Magnesium Alloy AZ91E,F Temper,N/A,1.81,165,97,45,0.35,86
Magnesium Alloy AZ91E,T4 Temper,N/A,1.81,275,90,45,0.35,87
Magnesium Alloy AZ91E,T6 Temper,N/A,1.81,275,145,45,0.35,88
# Nickel Alloys,,,,,,,,
# Nickel-Commercially Pure,,,,,,,,
Nickel,As Cast,39.02,8.88,317,59,207,0.31,89
# Titanium Alloys,,,,,,,,
# Titanium-Commercially Pure,,,,,,,,
Titanium,As cast,57.77,4.5,220,140,116,0.34,90
# AlloyTi-6Al-2Nb-1Ta-0.8Mo,,,,,,,,
Titanium AlloyTi-6Al-2Nb-1Ta-0.8Mo, as-rolled,N/A,4.48,830,760,117,0.31,91
Titanium AlloyTi-6Al-2Nb-1Ta-0.8Mo,Annealed,N/A,4.48,830,710,115,0.31,92
# Miscellaneous Alloys,,,,,,,,
Kovar Alloy,,N/A,8.36,517,345,138,0.317,93
# Invar,,,,,,,,
Invar,Alloy 32-5 (Cold drawn),15,8.14,483,276,145,0.23,94
Invar,Alloy 36 Alloy (Cold Drawn),15,8.05,621,483,148,0.23,95
# Haynes 25,,,,,,,,
Hayness 25,cold rolled and annealed,40,9.13,1005,475,225,0.24,96
Hayness 25,hot rolled and annealed,40,9.13,1015,505,225,0.24,97
# Biodur,,,,,,,,
Co-Cr-Ni Alloy,,N/A,8.3,860,520,190,0.226,98
INCONEL (Cold Rolled),,38,8.05,757,383,210,0.382,99
 INCOLOY 903,,N/A,8.25,1310,1100,147,0.239,100
 INCONEL 725 (Annealed),,14,8.3,855,427,204,0.31,101
Berylium S-200 ,,400,1.844,765,414,303,0.14,102
Tungsten,,4,19.3,980,750,400,0.28,103
# Noble Metals,,,,,,,,
Rhenium,,N/A,21.03,1070,290,469,0.296,104
Niobium,,N/A,8.57,195,105,103,0.38,105
# Polymers,,,,,,,,
# Epoxies,,,,,,,,
Nylon 66 Unreinforced,,14.2,1.095,62,63,2.1,0.39,106
Phenolic (Unreinforced),,10,1.705,56,52,7,,107
Polybutylene terepthalate (PBT),,5,1.355,55,67,12,,108
# Polycarbonate (PC),,,,,,,,
Polycarbonate,Molded,7.47,1.31,65,65,2.3,0.36,109
Polyester (Rigid),,7.25,1.65,58,70,3.5,,110
# Polyetheretherketone (PEEK),,,,,,,,
Polyetheretherketone (PEEK), Glass Fiber Filled,N/A,1.475,140,98,21,0.45,111
# Polyethylene Terephthalate (PET),,,,,,,,
Polyethylene Terephthalate (PET),30% Glass Reinforced,N/A,1.595,137,141,10,0.4,112
# Polyethylene (Molded),,,,,,,,
Polyethylene - Molded,Low Density ,N/A,0.925,16,16,0.25,0.38,113
Polyethylene - Molded,Medium Density,11.3,0.938,25,15,0.5,,114
Polyethylene - Molded,High Density ,N/A,1.159,30,16,0.9,,115
# Acrylonitrile Butadiene Styrene (ABS),,,,,,,,
Acrylonitrile Butadiene Styrene (ABS), Molded,13.84,1.115,47,46,2.4,,116
Acrylonitrile Butadiene Styrene (ABS), 40% Glass Fiber Filled,N/A,1.4275,80,110,9,,117
Acrylonitrile Butadiene Styrene (ABS), 40% Carbon Fiber Filled,N/A,1.305,115,120,22,,118
# Polymethyl Methacrylate (PMMA),,,,,,,,
Polymethyl Methacrylate (PMMA),Unreinforced,3.25,1.17,62,69,2.9,,119
# Polypropylene (PP),,,,,,,,
Polypropylene (PP),Unreinforced,2.58,1.07,50,28,2.25,,120
Polypropylene (PP), 10% Glass Fiber Filled,N/A,1.18,36,41,3.75,,121
Polystyrene,,15.05,1.06,45,46,3.25,0.33,122
Polytetrafluoroethylene (PTFE),,22,2.225,25,19,0.6,0.46,123
# Polyvinyl Chloride (PVC),,,,,,,,
Polyvinyl Chloride (PVC) Unreinforced,,15.12,1.305,47,38,3.1,0.38,124
Styrene Acrylonitrile,,N/A,1.16,65,65,3.7,,125
Cellulose Acetate,,N/A,1.28,33,26,1.7,,126
Polyacetal ,,N/A,1.39,60,69,2.4,0.35,127
Acetal Copolymer,,N/A,1.36,52,52,2.3,,128
Polyphenylene Sulfide Molded,,N/A,1.57,95,6809,3.5,,129
Polysulfone,,24.75,1.245,73,74,2.6,,130
